bid_price,ask_price,price,spread,funding_rate,premium,24h_volume,timestamp,type,expiry,symbol,exchange
37788.5,37842.0,37815.25,53.5,,-0.002,5370584.0,1627402766.7461472,MONTH,210730.0,BTC-USD-210730,Kraken Futures
38071.5,38127.5,38099.5,56.0,,0.0055,12704069.0,1627402766.7461472,QUARTER,210924.0,BTC-USD-210924,Kraken Futures
38830.5,38926.5,38878.5,96.0,,0.0261,11176590.0,1627402766.7461472,SEMIANNUAL,211231.0,BTC-USD-211231,Kraken Futures
37872.5,37906.5,37889.5,34.0,2.39118e-13,0.0,360639452.0,1627402766.7461472,PERPETUAL,,BTC-USD-PERPETUAL,Kraken Futures
38496.0,38512.0,38504.0,16.0,,0.0141,187120032.2074,1627402766.748267,QUARTER,210924.0,BTC-USD-210924,FTX Futures
39504.0,39523.0,39513.5,19.0,,0.0407,105140693.7395,1627402766.748267,SEMIANNUAL,211231.0,BTC-USD-211231,FTX Futures
37967.0,37968.0,37967.5,1.0,,0.0,5084897770.9353,1627402766.748267,PERPETUAL,,BTC-USD-PERPETUAL,FTX Futures
38162.0,38193.5,38177.75,31.5,,0.006,46738800.0,1627402766.7826834,QUARTER,92121.0,BTC-USD-092121,BitMEX
39108.0,39128.5,39118.25,20.5,,0.0308,14076400.0,1627402766.7826834,SEMIANNUAL,122121.0,BTC-USD-122121,BitMEX
37950.0,37950.5,37950.25,0.5,-0.000406,0.0,2326494700.0,1627402766.7826834,PERPETUAL,,BTC-USD-PERPETUAL,BitMEX
38116.2,38116.3,38116.25,0.1000000000058207,,0.0062,,1627402766.7704654,QUARTER,210924.0,BTC-USD-210924,Binance COIN-M
39037.4,39037.5,39037.45,0.0999999999985448,,0.0305,,1627402766.7704654,SEMIANNUAL,211231.0,BTC-USD-211231,Binance COIN-M
37883.0,37883.1,37883.05,0.0999999999985448,,0.0,,1627402766.7704654,PERPETUAL,,BTC-USD-PERPETUAL,Binance COIN-M
