price,premium,24h_volume,timestamp,type,expiry,symbol,exchange
65526.25,0.0,148098813.0,1636349030.0651302,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67178.0,0.0252,8791301.0,1636349030.0651302,QUARTER,211231,BTC-USD-211231,Kraken Futures
68665.75,0.0479,1179424.0,1636349030.0651302,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66071.5,0.0083,2979232.0,1636349030.0651302,MONTH,211126,BTC-USD-211126,Kraken Futures
65468.75,0.0,148067005.0,1636349093.9130938,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67135.25,0.0255,8791301.0,1636349093.9130938,QUARTER,211231,BTC-USD-211231,Kraken Futures
68623.75,0.0482,1179424.0,1636349093.9130938,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66019.5,0.0084,2979232.0,1636349093.9130938,MONTH,211126,BTC-USD-211126,Kraken Futures
65465.25,0.0,148051800.0,1636349160.057136,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67130.25,0.0254,8791301.0,1636349160.057136,QUARTER,211231,BTC-USD-211231,Kraken Futures
68618.25,0.0482,1179424.0,1636349160.057136,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66012.5,0.0084,2979232.0,1636349160.057136,MONTH,211126,BTC-USD-211126,Kraken Futures
65407.75,0.0,148107793.0,1636349226.6286976,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67070.25,0.0254,8791301.0,1636349226.6286976,QUARTER,211231,BTC-USD-211231,Kraken Futures
68564.0,0.0483,1179424.0,1636349226.6286976,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65958.0,0.0084,2979232.0,1636349226.6286976,MONTH,211126,BTC-USD-211126,Kraken Futures
65433.0,0.0,148180154.0,1636349289.7690983,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67088.75,0.0253,8791301.0,1636349289.7690983,QUARTER,211231,BTC-USD-211231,Kraken Futures
68559.0,0.0478,1179424.0,1636349289.7690983,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65973.25,0.0083,2979232.0,1636349289.7690983,MONTH,211126,BTC-USD-211126,Kraken Futures
65490.75,0.0,148178889.0,1636349352.8890889,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67141.0,0.0252,8789460.0,1636349352.8890889,QUARTER,211231,BTC-USD-211231,Kraken Futures
68628.0,0.0479,1179424.0,1636349352.8890889,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66030.25,0.0082,2979232.0,1636349352.8890889,MONTH,211126,BTC-USD-211126,Kraken Futures
65479.5,0.0,148264003.0,1636349415.9010625,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67140.25,0.0254,8789685.0,1636349415.9010625,QUARTER,211231,BTC-USD-211231,Kraken Futures
68634.25,0.0482,1179424.0,1636349415.9010625,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
66021.0,0.0083,2979232.0,1636349415.9010625,MONTH,211126,BTC-USD-211126,Kraken Futures
65399.25,0.0,147981783.0,1636349481.1501768,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67052.75,0.0253,8789685.0,1636349481.1501768,QUARTER,211231,BTC-USD-211231,Kraken Futures
68552.75,0.0482,1179434.0,1636349481.1501768,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65932.25,0.0081,2967254.0,1636349481.1501768,MONTH,211126,BTC-USD-211126,Kraken Futures
65390.25,0.0,148002410.0,1636349544.219245,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67063.25,0.0256,8793599.0,1636349544.219245,QUARTER,211231,BTC-USD-211231,Kraken Futures
68545.75,0.0483,1179434.0,1636349544.219245,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65940.5,0.0084,2971024.0,1636349544.219245,MONTH,211126,BTC-USD-211126,Kraken Futures
65358.75,0.0,147958113.0,1636349607.7770216,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67019.75,0.0254,8794049.0,1636349607.7770216,QUARTER,211231,BTC-USD-211231,Kraken Futures
68499.25,0.0481,1177545.0,1636349607.7770216,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65894.25,0.0082,2971024.0,1636349607.7770216,MONTH,211126,BTC-USD-211126,Kraken Futures
65339.75,0.0,147960861.0,1636349670.6491797,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
66995.5,0.0253,8794274.0,1636349670.6491797,QUARTER,211231,BTC-USD-211231,Kraken Futures
68492.25,0.0482,1177545.0,1636349670.6491797,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65880.75,0.0083,2971024.0,1636349670.6491797,MONTH,211126,BTC-USD-211126,Kraken Futures
65400.0,0.0,148223035.0,1636349734.6651466,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67020.75,0.0248,8796231.0,1636349734.6651466,QUARTER,211231,BTC-USD-211231,Kraken Futures
68520.25,0.0477,1177545.0,1636349734.6651466,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65916.75,0.0079,2973009.0,1636349734.6651466,MONTH,211126,BTC-USD-211126,Kraken Futures
65358.25,0.0,148331905.0,1636349798.0652,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67010.0,0.0253,8796231.0,1636349798.0652,QUARTER,211231,BTC-USD-211231,Kraken Futures
68490.5,0.0479,1177545.0,1636349798.0652,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65891.25,0.0082,2973009.0,1636349798.0652,MONTH,211126,BTC-USD-211126,Kraken Futures
65379.25,0.0,148353654.0,1636349861.6890943,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67002.75,0.0248,8796231.0,1636349861.6890943,QUARTER,211231,BTC-USD-211231,Kraken Futures
68512.5,0.0479,1177545.0,1636349861.6890943,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65898.5,0.0079,2973009.0,1636349861.6890943,MONTH,211126,BTC-USD-211126,Kraken Futures
65347.75,0.0,148366255.0,1636349926.6571126,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
66999.5,0.0253,8796231.0,1636349926.6571126,QUARTER,211231,BTC-USD-211231,Kraken Futures
68491.0,0.0481,1177545.0,1636349926.6571126,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65888.5,0.0083,2973009.0,1636349926.6571126,MONTH,211126,BTC-USD-211126,Kraken Futures
65390.5,0.0,148544732.0,1636349989.553001,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67044.25,0.0253,8795731.0,1636349989.553001,QUARTER,211231,BTC-USD-211231,Kraken Futures
68536.25,0.0481,1176516.0,1636349989.553001,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65932.75,0.0083,2983334.0,1636349989.553001,MONTH,211126,BTC-USD-211126,Kraken Futures
65402.5,0.0,148438027.0,1636350052.6730788,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67049.75,0.0252,8793867.0,1636350052.6730788,QUARTER,211231,BTC-USD-211231,Kraken Futures
68540.5,0.048,1176516.0,1636350052.6730788,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65930.0,0.0081,2985319.0,1636350052.6730788,MONTH,211126,BTC-USD-211126,Kraken Futures
65382.75,0.0,148413945.0,1636350117.529081,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67034.75,0.0253,8793867.0,1636350117.529081,QUARTER,211231,BTC-USD-211231,Kraken Futures
68516.5,0.0479,1176516.0,1636350117.529081,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65917.5,0.0082,2985319.0,1636350117.529081,MONTH,211126,BTC-USD-211126,Kraken Futures
65357.75,0.0,148416506.0,1636350180.8171277,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67021.0,0.0254,8793246.0,1636350180.8171277,QUARTER,211231,BTC-USD-211231,Kraken Futures
68514.5,0.0483,1176516.0,1636350180.8171277,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65905.5,0.0084,2985319.0,1636350180.8171277,MONTH,211126,BTC-USD-211126,Kraken Futures
65361.25,0.0,148416506.0,1636350244.1050951,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
67012.5,0.0253,8793246.0,1636350244.1050951,QUARTER,211231,BTC-USD-211231,Kraken Futures
68512.75,0.0482,1176516.0,1636350244.1050951,SEMIANNUAL,220325,BTC-USD-220325,Kraken Futures
65905.5,0.0083,2985319.0,1636350244.1050951,MONTH,211126,BTC-USD-211126,Kraken Futures
