price,premium,24h_volume,timestamp,type,expiry,symbol,exchange
46321.5,0.0,199535269.0,1629209460.4054613,PERPETUAL,100101,BTC-USD-PERPETUAL,Kraken Futures
46374.25,0.0011,11935627.0,1629209460.4054613,QUARTER,210924,BTC-USD-210924,Kraken Futures
47061.75,0.016,2339727.0,1629209460.4054613,SEMIANNUAL,211231,BTC-USD-211231,Kraken Futures
46277.75,-0.0009,2140460.0,1629209460.4054613,MONTH,210827,BTC-USD-210827,Kraken Futures
46340.5,0.0,3586822579.5792,1629209460.408677,PERPETUAL,100101,BTC-USD-PERPETUAL,FTX Futures
46780.5,0.0095,123961893.4332,1629209460.408677,MONTH,210924,BTC-USD-210924,FTX Futures
47948.5,0.0347,57869704.0544,1629209460.408677,SEMIANNUAL,211231,BTC-USD-211231,FTX Futures
46314.75,0.0,1597285200.0,1629209460.429979,PERPETUAL,100101,BTC-USD-PERPETUAL,BitMEX
46556.25,0.0052,31904100.0,1629209460.429979,MONTH,210924,BTC-USD-210924,BitMEX
47502.0,0.0256,19116600.0,1629209460.429979,SEMIANNUAL,211231,BTC-USD-211231,BitMEX
47892.350000000006,0.034,,1629209460.418589,SEMIANNUAL,211231,BTC-USD-211231,Binance COIN-M
46600.55,0.0062,,1629209460.418589,MONTH,210924,BTC-USD-210924,Binance COIN-M
46315.350000000006,0.0,,1629209460.418589,PERPETUAL,100101,BTC-USD-PERPETUAL,Binance COIN-M
